province,date_recovered,recovered
BC,1/6/2020,26
BC,2/6/2020,22
BC,3/6/2020,14
BC,4/6/2020,22
BC,5/6/2020,7
BC,6/6/2020,0
BC,7/6/2020,0
BC,8/6/2020,37
BC,9/6/2020,10
BC,10/6/2020,9
BC,11/6/2020,16
BC,12/6/2020,10
BC,13-06-2020,0
BC,14-06-2020,0
BC,15-06-2020,41
BC,16-06-2020,21
BC,17-06-2020,6
BC,18-06-2020,3
BC,19-06-2020,19
BC,20-06-2020,0
BC,21-06-2020,0
BC,22-06-2020,27
BC,23-06-2020,20
BC,24-06-2020,25
BC,25-06-2020,1
BC,26-06-2020,28
BC,27-06-2020,0
BC,28-06-2020,0
BC,29-06-2020,32
BC,30-06-2020,13
BC,1/7/2020,0
BC,2/7/2020,13
BC,3/7/2020,5
BC,4/7/2020,0
BC,5/7/2020,0
BC,6/7/2020,21
BC,7/7/2020,16
BC,8/7/2020,15
BC,9/7/2020,7
BC,10/7/2020,12
BC,11/7/2020,0
BC,12/7/2020,0
BC,13-07-2020,39
BC,14-07-2020,12
BC,15-07-2020,23
BC,16-07-2020,36
BC,17-07-2020,13
BC,18-07-2020,0
BC,19-07-2020,0
BC,20-07-2020,56
BC,21-07-2020,15
BC,22-07-2020,15
BC,23-07-2020,10
BC,24-07-2020,36
BC,25-07-2020,0
BC,26-07-2020,0
BC,27-07-2020,109
BC,28-07-2020,33
BC,29-07-2020,33
BC,30-07-2020,46
BC,31-07-2020,13
BC,1/8/2020,0
BC,2/8/2020,0
BC,3/8/2020,0
BC,4/8/2020,105
BC,5/8/2020,15
BC,6/8/2020,27
BC,7/8/2020,38
BC,8/8/2020,0
BC,9/8/2020,0
BC,10/8/2020,72
BC,11/8/2020,19
BC,12/8/2020,25
BC,13-08-2020,31
BC,14-08-2020,33
BC,15-08-2020,0
BC,16-08-2020,0
BC,17-08-2020,120
BC,18-08-2020,51
BC,19-08-2020,45
BC,20-08-2020,96
BC,21-08-2020,44
BC,22-08-2020,0
BC,23-08-2020,0
BC,24-08-2020,179
BC,25-08-2020,46
BC,26-08-2020,85
BC,27-08-2020,54
BC,28-08-2020,57
BC,29-08-2020,0
BC,30-08-2020,0
BC,31-08-2020,96
BC,1/9/2020,99
BC,2/9/2020,100
BC,3/9/2020,39
BC,4/9/2020,62
BC,5/9/2020,0
BC,6/9/2020,0
BC,7/9/2020,0
BC,8/9/2020,272
BC,9/9/2020,108
BC,10/9/2020,104
BC,11/9/2020,83
BC,12/9/2020,0
BC,13-09-2020,0
BC,14-09-2020,173
BC,15-09-2020,102
BC,16-09-2020,98
BC,17-09-2020,73
BC,18-09-2020,78
BC,19-09-2020,0
BC,20-09-2020,0
BC,21-09-2020,175
BC,22-09-2020,617
BC,23-09-2020,180
BC,24-09-2020,148
BC,25-09-2020,119
BC,26-09-2020,0
BC,27-09-2020,0
BC,28-09-2020,310
BC,29-09-2020,139
BC,30-09-2020,106
BC,1/10/2020,104
BC,2/10/2020,118
BC,3/10/2020,0
BC,4/10/2020,0
BC,5/10/2020,302
BC,6/10/2020,69
BC,7/10/2020,112
BC,8/10/2020,102
BC,9/10/2020,104
BC,10/10/2020,0
BC,11/10/2020,0
BC,12/10/2020,0
BC,13-10-2020,472
BC,14-10-2020,138
BC,15-10-2020,145
BC,16-10-2020,130
BC,17-10-2020,0
BC,18-10-2020,0
BC,19-10-2020,366
BC,20-10-2020,118
BC,21-10-2020,122
BC,22-10-2020,121
BC,23-10-2020,133
BC,24-10-2020,0
BC,25-10-2020,0
BC,26-10-2020,487
BC,27-10-2020,220
